Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2018-09-27,86588000,36274000,19091300,120724800,25216000
2018-09-28,81702000,35612000,21647800,91717600,27612000
2018-10-01,69210000,33164000,18883100,94403200,27152000
2018-10-02,108014000,40180000,20787200,99152800,33758000
2018-10-03,105062000,26246000,16648000,114619200,25124000
2018-10-04,145140000,46576000,34821700,128168000,44190000
2018-10-05,136446000,31852000,29068900,134322000,23686000
2018-10-08,147864000,46190000,29640600,118655600,38648000
2018-10-09,95458000,33690000,26198600,107564000,26174000
2018-10-10,219778000,58980000,61376300,167962400,53514000
2018-10-11,278718000,67696000,63904300,212497600,58980000
2018-10-12,188892000,49370000,47742100,161351600,42026000
2018-10-15,128744000,30074000,32068100,123164000,27448000
2018-10-16,117198000,38378000,31610200,116736000,38570000
2018-10-17,105904000,35652000,26548200,91541600,29344000
2018-10-18,117480000,46152000,32506200,130325200,41890000
2018-10-19,118144000,41286000,32785500,132314800,25352000
2018-10-22,90000000,27116000,26545600,115168400,30284000
2018-10-23,134478000,37686000,43770400,155071200,36974000
2018-10-24,138568000,49286000,63897800,163702000,39648000
2018-10-25,205714000,72956000,61646800,119423200,50916000
2018-10-26,299276000,106438000,55523100,189033600,83752000
2018-10-29,277322000,81290000,55162000,183742000,77614000
2018-10-30,249202000,59768000,65350900,146640000,64254000
2018-10-31,187804000,70916000,51062400,153435600,50596000
2018-11-01,162710000,40132000,33384200,233292800,29640000
2018-11-02,139110000,43438000,37680200,365314800,36780000
2018-11-05,112494000,45358000,27922100,264654800,48828000
2018-11-06,85148000,28660000,24340200,127531600,24666000
2018-11-07,163844000,43388000,37901700,133697600,41168000
2018-11-08,130698000,33694000,25644100,101450400,29764000
2018-11-09,118044000,34860000,32039200,137463200,26864000
2018-11-12,136124000,34002000,33621800,204542000,29436000
2018-11-13,118666000,25750000,35374600,187531600,30274000
2018-11-14,129738000,34666000,39495100,243204000,31318000
2018-11-15,168546000,41584000,38505200,185915200,36722000
2018-11-16,121322000,35366000,33502100,147713200,33162000
2018-11-19,155800000,45684000,44773900,167701200,37172000
2018-11-20,217576000,54458000,64052500,271300800,48982000
2018-11-21,114336000,29698000,28130600,124496800,30686000
2018-11-23,54152000,14178000,13823100,94496000,13830000
2018-11-26,125154000,31558000,32336200,179994000,38856000
2018-11-27,115664000,33048000,29124500,165549600,36064000
2018-11-28,169174000,46042000,46788500,184250000,49508000
2018-11-29,132264000,31004000,28123200,167080000,29378000
2018-11-30,115236000,59668000,33665600,158126000,51604000
2018-12-03,137246000,57532000,34732800,163210000,39824000
2018-12-04,173890000,45630000,45197000,165377200,46904000
2018-12-06,175788000,47436000,49107400,172393600,55384000
2018-12-07,151522000,42682000,45044900,169126400,42024000
2018-12-10,149896000,33652000,40801500,248104000,36154000
2018-12-11,124894000,33852000,42381900,189126800,27894000
2018-12-12,131960000,28960000,36183000,142510800,30476000
2018-12-13,105426000,24986000,31333400,127594400,26596000
