Date,AMZN,NVDA,GOOGL,MSFT,FB,TSLA,AAPL,GOOG
2018-12-07,151522000,68167600,42682000,45044900,,172668000,169126400,42024000
2018-12-10,149896000,62947200,33652000,40801500,,99202500,248104000,36154000
2018-12-11,124894000,67191200,33852000,42381900,,94632000,189126800,27894000
2018-12-12,131960000,65413600,28960000,36183000,,75405000,142510800,30476000
2018-12-13,105426000,47138400,24986000,31333400,,110488500,127594400,26596000
2018-12-14,127344000,47182000,36358000,47043100,,95064000,162814800,33732000
2018-12-17,176596000,66286800,49932000,56957300,,115110000,177151600,47708000
2018-12-18,130460000,56437200,43640000,49319200,,106500000,135366000,43850000
2018-12-19,175844000,74536400,58264000,68198200,,124113000,196189200,49586000
2018-12-20,199836000,74958800,53674000,70334200,,136078500,259092000,53470000
2018-12-21,272806000,86374000,104656000,111242100,,120252000,382978400,91920000
2018-12-24,144400000,46384000,36360000,43935200,,83398500,148676800,31806000
2018-12-26,208236000,69510000,46318000,51634800,,122446500,234330000,47466000
2018-12-27,194440000,63704400,45996000,49498500,,128626500,212468400,42196000
2018-12-28,176580000,62872800,34398000,38196300,,149085000,169165600,28296000
2018-12-31,139090000,46514000,33110000,33173800,,94534500,140014000,29866000
2019-01-02,159662000,50875200,31868000,35329300,,174879000,148158800,30652000
2019-01-03,139512000,70555200,41960000,42579100,,104478000,365248800,36822000
2019-01-04,183652000,58562000,46022000,44060600,,110911500,234428400,41878000
2019-01-07,159864000,70916000,47446000,35656100,,113268000,219111200,39638000
2019-01-08,177628000,78601600,35414000,31514400,,105127500,164101200,35298000
2019-01-09,126976000,61726000,26998000,32280800,,81493500,180396400,23986000
2019-01-10,130154000,52315600,26598000,30067600,,90846000,143122800,29128000
2019-01-11,93724000,87476400,30864000,28314200,,75586500,108092800,30416000
2019-01-14,120118000,73016800,28490000,28437100,,78709500,129756800,22886000
2019-01-15,119970000,61701200,37518000,31587600,,90849000,114843600,29272000
2019-01-16,127338000,47010400,38280000,29853900,,70375500,122278800,26636000
2019-01-17,84178000,49343600,24896000,28393000,,55150500,119284800,24854000
2019-01-18,120410000,65133600,44892000,37427600,,362262000,135004000,39112000
2019-01-22,128336000,66155200,39632000,32371300,,181000500,121576000,32270000
