Date,MSFT,GOOGL,AMZN,AAPL,GOOG
2018-02-01,96.06999969482422,59.372501373291016,72.99400329589844,42.15499877929688,58.70000076293945
2018-02-02,93.97000122070312,56.56499862670898,74.9000015258789,41.70000076293945,56.15349960327149
2018-02-05,93.23999786376952,55.7495002746582,72.9489974975586,40.970001220703125,55.5
2018-02-06,91.4800033569336,54.36899948120117,72.19950103759766,40.93000030517578,54.08549880981445
2018-02-07,91.7699966430664,54.32649993896485,73.04949951171875,40.84999847412109,54.0890007019043
2018-02-08,89.87999725341797,53.19649887084961,71.6875,40.25,52.930999755859375
2018-02-09,88.93000030517578,52.58599853515625,69.17500305175781,39.47249984741211,52.19850158691406
2018-02-12,89.77999877929688,53.27849960327149,69.69049835205078,40.97249984741211,53.07500076293945
2018-02-13,90.0,53.06100082397461,70.98600006103516,41.1875,52.91849899291992
2018-02-14,90.98999786376952,53.77349853515625,72.60299682617188,41.8849983215332,53.58599853515625
2018-02-15,92.72000122070312,54.70500183105469,73.4469985961914,43.272499084472656,54.573951721191406
2018-02-16,93.5,55.41550064086914,73.29000091552734,43.70500183105469,55.23350143432617
2018-02-20,93.05999755859376,55.81449890136719,74.4384994506836,43.56499862670898,55.6974983215332
2018-02-21,93.36000061035156,56.810001373291016,75.17449951171875,43.52999877929688,56.69850158691406
2018-02-22,92.7300033569336,56.27299880981445,75.12699890136719,43.48749923706055,56.14099884033203
2018-02-23,94.06999969482422,56.45000076293945,75.0,43.91249847412109,56.36399841308594
2018-02-26,95.4499969482422,57.209999084472656,76.14199829101562,44.84749984741211,57.198001861572266
2018-02-27,95.83999633789062,57.212501525878906,76.33899688720703,45.119998931884766,57.20199966430664
2018-02-28,95.70999908447266,56.38249969482422,76.43499755859375,45.15499877929688,56.37649917602539
2018-03-01,94.56999969482422,55.5634994506836,75.92449951171875,44.94499969482422,55.50600051879883
2018-03-02,93.1500015258789,54.34450149536133,75.05249786376953,44.07500076293945,54.09994888305664
2018-03-05,94.2699966430664,55.05899810791016,76.26899719238281,44.435001373291016,54.85499954223633
2018-03-06,94.48999786376952,55.28150177001953,77.10649871826172,44.5625,55.09249877929688
2018-03-07,93.94000244140624,55.810001373291016,77.29499816894531,43.962501525878906,55.61100006103516
2018-03-08,95.0999984741211,56.571998596191406,77.74400329589844,44.27999877929688,56.380001068115234
2018-03-09,96.54000091552734,58.04999923706055,78.9469985961914,45.0,58.040000915527344
2018-03-12,97.20999908447266,58.90800094604492,80.2665023803711,45.59749984741211,58.852500915527344
2018-03-13,97.23999786376952,58.900001525878906,80.87699890136719,45.875,58.8380012512207
2018-03-14,95.41000366210938,57.98799896240234,80.3219985961914,45.130001068115234,57.929500579833984
2018-03-15,94.58000183105467,58.125,79.84549713134766,45.060001373291016,58.05400085449219
2018-03-16,95.37999725341795,57.84049987792969,79.47200012207031,44.77999877929688,57.79399871826172
2018-03-19,93.9000015258789,55.96849822998047,78.08300018310547,44.36750030517578,56.0994987487793
2018-03-20,93.7699966430664,55.27750015258789,79.3499984741211,44.20000076293945,55.2599983215332
2018-03-21,94.0500030517578,55.435001373291016,79.5,43.772499084472656,55.31499862670898
2018-03-22,91.75,54.19599914550781,78.69249725341797,43.16999816894531,54.14500045776367
2018-03-23,90.45999908447266,53.3390007019043,77.45099639892578,42.47999954223633,53.167999267578125
2018-03-26,94.0,52.9635009765625,77.84950256347656,43.275001525878906,52.78150177001953
2018-03-27,95.13999938964844,53.22700119018555,78.79850006103516,43.78749847412109,53.24195098876953
2018-03-28,91.2300033569336,51.2495002746582,72.79499816894531,42.505001068115234,51.21149826049805
2018-03-29,92.29000091552734,52.40250015258789,72.77349853515625,42.9375,52.150001525878906
2018-04-02,90.87999725341795,51.97650146484375,71.06800079345703,42.23500061035156,51.7400016784668
2018-04-03,90.05000305175781,51.25,70.69999694824219,42.1875,51.04949951171875
2018-04-04,92.76000213623048,51.637001037597656,70.76950073242188,43.00249862670898,51.4359016418457
2018-04-05,93.06999969482422,52.33549880981445,72.97799682617188,43.557498931884766,52.13949966430664
2018-04-06,92.45999908447266,51.79999923706055,72.625,43.119998931884766,51.57099914550781
2018-04-09,93.16999816894533,52.22949981689453,71.92400360107422,43.272499084472656,51.97999954223633
2018-04-10,93.27999877929688,52.06050109863281,71.91899871826172,43.5,51.81399917602539
2018-04-11,93.29000091552734,51.79349899291992,72.43900299072266,43.47999954223633,51.56819915771485
